컴퓨터 이름,정책 대상,하위 범주,하위 범주 GUID,포함 설정,제외 설정,설정 값
HYPERV1,시스템,시스템 무결성,{0CCE9212-69AE-11D9-BED3-505054503030},성공 및 실패,,3
HYPERV1,시스템,IPsec 드라이버,{0CCE9213-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,보안 시스템 확장,{0CCE9211-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,보안 상태 변경,{0CCE9210-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,기타 시스템 이벤트,{0CCE9214-69AE-11D9-BED3-505054503030},성공 및 실패,,3
HYPERV1,시스템,로그온,{0CCE9215-69AE-11D9-BED3-505054503030},성공 및 실패,,3
HYPERV1,시스템,IPsec 빠른 모드,{0CCE9219-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,IPsec 확장 모드,{0CCE921A-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,네트워크 정책 서버,{0CCE9243-69AE-11D9-BED3-505054503030},성공 및 실패,,3
HYPERV1,시스템,사용자/장치 클레임,{0CCE9247-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,그룹 구성원,{0CCE9249-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,IPsec 주 모드,{0CCE9218-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,계정 잠금,{0CCE9217-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,특수 로그온,{0CCE921B-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,기타 로그온/로그오프 이벤트,{0CCE921C-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,로그오프,{0CCE9216-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,세부 파일 공유,{0CCE9244-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,중앙 정책 준비,{0CCE9246-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,기타 개체 액세스 이벤트,{0CCE9227-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,필터링 플랫폼 연결,{0CCE9226-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,필터링 플랫폼 패킷 삭제,{0CCE9225-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,파일 공유,{0CCE9224-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,파일 시스템,{0CCE921D-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,핸들 조작,{0CCE9223-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,응용 프로그램 생성됨,{0CCE9222-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,인증 서비스,{0CCE9221-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,커널 개체,{0CCE921F-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,레지스트리,{0CCE921E-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,이동식 저장소,{0CCE9245-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,중요하지 않은 권한 사용,{0CCE9229-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,기타 권한 사용 이벤트,{0CCE922A-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,중요한 권한 사용,{0CCE9228-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,DPAPI 작업,{0CCE922D-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,RPC 이벤트,{0CCE922E-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,플러그 앤 플레이 이벤트,{0CCE9248-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,토큰 권한 조정 이벤트,{0CCE924A-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,프로세스 만들기,{0CCE922B-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,프로세스 종료,{0CCE922C-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,MPSSVC 규칙 수준 정책 변경,{0CCE9232-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,필터링 플랫폼 정책 변경,{0CCE9233-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,감사 정책 변경,{0CCE922F-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,인증 정책 변경,{0CCE9230-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,권한 부여 정책 변경,{0CCE9231-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,기타 정책 변경 이벤트,{0CCE9234-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,보안 그룹 관리,{0CCE9237-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,컴퓨터 계정 관리,{0CCE9236-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,메일 그룹 관리,{0CCE9238-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,응용 프로그램 그룹 관리,{0CCE9239-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,기타 계정 관리 이벤트,{0CCE923A-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,사용자 계정 관리,{0CCE9235-69AE-11D9-BED3-505054503030},성공,,1
HYPERV1,시스템,디렉터리 서비스 액세스,{0CCE923B-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,디렉터리 서비스 변경,{0CCE923C-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,디렉터리 서비스 복제,{0CCE923D-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,세부 디렉터리 서비스 복제,{0CCE923E-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,Kerberos 서비스 티켓 작업,{0CCE9240-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,기타 계정 로그온 이벤트,{0CCE9241-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,Kerberos 인증 서비스,{0CCE9242-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,시스템,자격 증명 유효성 검사,{0CCE923F-69AE-11D9-BED3-505054503030},감사 없음,,0
HYPERV1,,옵션:CrashOnAuditFail,,사용 안 함,,0
HYPERV1,,옵션:FullPrivilegeAuditing,,사용 안 함,,0
HYPERV1,,옵션:AuditBaseObjects,,사용 안 함,,0
HYPERV1,,옵션:AuditBaseDirectories,,사용 안 함,,0
HYPERV1,,FileGlobalSacl,,,,
HYPERV1,,RegistryGlobalSacl,,,,
